article,importance,importance_updated,quality,quality_updated,article_history_link,article_link,article_talk,article_talk_link,title,page_id,ns
Carcinogenesis,High-Class,2007-12-11T06:44:13Z,B-Class,2007-12-11T06:44:13Z,https://en.wikipedia.org/w/index.php?title=Carcinogenesis&action=history,https://en.wikipedia.org/w/index.php?title=Carcinogenesis,Talk:Carcinogenesis,https://en.wikipedia.org/w/index.php?title=Talk:Carcinogenesis,Carcinogenesis,2332422,0.0
Gallstone,High-Class,2007-12-14T01:59:54Z,B-Class,2016-08-17T22:53:09Z,https://en.wikipedia.org/w/index.php?title=Gallstone&action=history,https://en.wikipedia.org/w/index.php?title=Gallstone,Talk:Gallstone,https://en.wikipedia.org/w/index.php?title=Talk:Gallstone,Gallstone,287531,0.0
Leukemia,High-Class,2010-01-30T18:18:24Z,B-Class,2010-01-30T18:18:24Z,https://en.wikipedia.org/w/index.php?title=Leukemia&action=history,https://en.wikipedia.org/w/index.php?title=Leukemia,Talk:Leukemia,https://en.wikipedia.org/w/index.php?title=Talk:Leukemia,Leukemia,18539,0.0
Progesterone (medication),High-Class,2017-11-21T03:07:27Z,B-Class,2017-10-29T22:31:24Z,https://en.wikipedia.org/w/index.php?title=Progesterone%20%28medication%29&action=history,https://en.wikipedia.org/w/index.php?title=Progesterone%20%28medication%29,Talk:Progesterone (medication),https://en.wikipedia.org/w/index.php?title=Talk:Progesterone%20%28medication%29,Progesterone (medication),52421781,0.0
Testosterone (medication),High-Class,2017-11-21T03:08:36Z,B-Class,2017-11-21T03:09:48Z,https://en.wikipedia.org/w/index.php?title=Testosterone%20%28medication%29&action=history,https://en.wikipedia.org/w/index.php?title=Testosterone%20%28medication%29,Talk:Testosterone (medication),https://en.wikipedia.org/w/index.php?title=Talk:Testosterone%20%28medication%29,Testosterone (medication),52251177,0.0
Thalidomide,High-Class,2007-06-23T11:25:35Z,B-Class,2019-11-23T00:04:16Z,https://en.wikipedia.org/w/index.php?title=Thalidomide&action=history,https://en.wikipedia.org/w/index.php?title=Thalidomide,Talk:Thalidomide,https://en.wikipedia.org/w/index.php?title=Talk:Thalidomide,Thalidomide,51078,0.0
White blood cell,High-Class,2024-01-14T22:55:00Z,B-Class,2024-01-14T22:55:00Z,https://en.wikipedia.org/w/index.php?title=White%20blood%20cell&action=history,https://en.wikipedia.org/w/index.php?title=White%20blood%20cell,Talk:White blood cell,https://en.wikipedia.org/w/index.php?title=Talk:White%20blood%20cell,White blood cell,25164668,0.0
5-HT2C receptor agonist,Mid-Class,2015-05-27T09:32:32Z,B-Class,2015-05-27T09:32:32Z,https://en.wikipedia.org/w/index.php?title=5-HT2C%20receptor%20agonist&action=history,https://en.wikipedia.org/w/index.php?title=5-HT2C%20receptor%20agonist,Talk:5-HT2C receptor agonist,https://en.wikipedia.org/w/index.php?title=Talk:5-HT2C%20receptor%20agonist,5-HT2C receptor agonist,37051328,0.0
Achromatopsia,Mid-Class,2008-02-15T03:55:20Z,B-Class,2008-02-15T03:55:20Z,https://en.wikipedia.org/w/index.php?title=Achromatopsia&action=history,https://en.wikipedia.org/w/index.php?title=Achromatopsia,Talk:Achromatopsia,https://en.wikipedia.org/w/index.php?title=Talk:Achromatopsia,Achromatopsia,255798,0.0
Adenomyosis,Mid-Class,2007-11-23T22:22:09Z,B-Class,2024-02-09T21:59:06Z,https://en.wikipedia.org/w/index.php?title=Adenomyosis&action=history,https://en.wikipedia.org/w/index.php?title=Adenomyosis,Talk:Adenomyosis,https://en.wikipedia.org/w/index.php?title=Talk:Adenomyosis,Adenomyosis,1481453,0.0
Alveolar cleft grafting,Mid-Class,2019-03-23T01:12:44Z,B-Class,2019-03-30T01:24:34Z,https://en.wikipedia.org/w/index.php?title=Alveolar%20cleft%20grafting&action=history,https://en.wikipedia.org/w/index.php?title=Alveolar%20cleft%20grafting,Talk:Alveolar cleft grafting,https://en.wikipedia.org/w/index.php?title=Talk:Alveolar%20cleft%20grafting,Alveolar cleft grafting,60304482,0.0
Aripiprazole,Mid-Class,2008-02-18T01:18:29Z,B-Class,2008-02-18T01:18:29Z,https://en.wikipedia.org/w/index.php?title=Aripiprazole&action=history,https://en.wikipedia.org/w/index.php?title=Aripiprazole,Talk:Aripiprazole,https://en.wikipedia.org/w/index.php?title=Talk:Aripiprazole,Aripiprazole,311330,0.0
COVID-19 pandemic in South Africa,Mid-Class,2021-07-29T17:48:27Z,B-Class,2021-07-29T17:48:27Z,https://en.wikipedia.org/w/index.php?title=COVID-19%20pandemic%20in%20South%20Africa&action=history,https://en.wikipedia.org/w/index.php?title=COVID-19%20pandemic%20in%20South%20Africa,Talk:COVID-19 pandemic in South Africa,https://en.wikipedia.org/w/index.php?title=Talk:COVID-19%20pandemic%20in%20South%20Africa,COVID-19 pandemic in South Africa,63300653,0.0
Chilblain lupus erythematosus,Mid-Class,2008-12-18T01:43:17Z,B-Class,2023-12-26T01:21:45Z,https://en.wikipedia.org/w/index.php?title=Chilblain%20lupus%20erythematosus&action=history,https://en.wikipedia.org/w/index.php?title=Chilblain%20lupus%20erythematosus,Talk:Chilblain lupus erythematosus,https://en.wikipedia.org/w/index.php?title=Talk:Chilblain%20lupus%20erythematosus,Chilblain lupus erythematosus,20752356,0.0
Chronic myelomonocytic leukemia,Mid-Class,2011-05-10T19:04:07Z,B-Class,2013-04-07T12:39:32Z,https://en.wikipedia.org/w/index.php?title=Chronic%20myelomonocytic%20leukemia&action=history,https://en.wikipedia.org/w/index.php?title=Chronic%20myelomonocytic%20leukemia,Talk:Chronic myelomonocytic leukemia,https://en.wikipedia.org/w/index.php?title=Talk:Chronic%20myelomonocytic%20leukemia,Chronic myelomonocytic leukemia,8072180,0.0
Clonidine,Mid-Class,2019-02-03T02:24:49Z,B-Class,2019-02-03T02:24:49Z,https://en.wikipedia.org/w/index.php?title=Clonidine&action=history,https://en.wikipedia.org/w/index.php?title=Clonidine,Talk:Clonidine,https://en.wikipedia.org/w/index.php?title=Talk:Clonidine,Clonidine,556643,0.0
Gabapentin,Mid-Class,2007-12-30T22:12:45Z,B-Class,2007-12-30T22:12:45Z,https://en.wikipedia.org/w/index.php?title=Gabapentin&action=history,https://en.wikipedia.org/w/index.php?title=Gabapentin,Talk:Gabapentin,https://en.wikipedia.org/w/index.php?title=Talk:Gabapentin,Gabapentin,482534,0.0
Grading of the tumors of the central nervous system,Mid-Class,2009-08-12T13:28:04Z,B-Class,2009-08-12T13:28:04Z,https://en.wikipedia.org/w/index.php?title=Grading%20of%20the%20tumors%20of%20the%20central%20nervous%20system&action=history,https://en.wikipedia.org/w/index.php?title=Grading%20of%20the%20tumors%20of%20the%20central%20nervous%20system,Talk:Grading of the tumors of the central nervous system,https://en.wikipedia.org/w/index.php?title=Talk:Grading%20of%20the%20tumors%20of%20the%20central%20nervous%20system,Grading of the tumors of the central nervous system,23955074,0.0
Hereditary haemochromatosis,Mid-Class,2009-05-15T20:47:21Z,B-Class,2009-05-15T20:47:21Z,https://en.wikipedia.org/w/index.php?title=Hereditary%20haemochromatosis&action=history,https://en.wikipedia.org/w/index.php?title=Hereditary%20haemochromatosis,Talk:Hereditary haemochromatosis,https://en.wikipedia.org/w/index.php?title=Talk:Hereditary%20haemochromatosis,Hereditary haemochromatosis,68349,0.0
Indometacin,Mid-Class,2020-05-04T09:46:07Z,B-Class,2020-05-04T09:46:07Z,https://en.wikipedia.org/w/index.php?title=Indometacin&action=history,https://en.wikipedia.org/w/index.php?title=Indometacin,Talk:Indometacin,https://en.wikipedia.org/w/index.php?title=Talk:Indometacin,Indometacin,1206744,0.0
Knuckle pads,Mid-Class,2008-12-21T19:26:26Z,B-Class,2024-04-29T00:20:57Z,https://en.wikipedia.org/w/index.php?title=Knuckle%20pads&action=history,https://en.wikipedia.org/w/index.php?title=Knuckle%20pads,Talk:Knuckle pads,https://en.wikipedia.org/w/index.php?title=Talk:Knuckle%20pads,Knuckle pads,20795811,0.0
Levoamphetamine,Mid-Class,2020-09-26T04:44:44Z,B-Class,2025-05-15T22:26:21Z,https://en.wikipedia.org/w/index.php?title=Levoamphetamine&action=history,https://en.wikipedia.org/w/index.php?title=Levoamphetamine,Talk:Levoamphetamine,https://en.wikipedia.org/w/index.php?title=Talk:Levoamphetamine,Levoamphetamine,18598282,0.0
Lipoma,Mid-Class,2008-06-03T02:21:30Z,B-Class,2008-10-18T15:02:47Z,https://en.wikipedia.org/w/index.php?title=Lipoma&action=history,https://en.wikipedia.org/w/index.php?title=Lipoma,Talk:Lipoma,https://en.wikipedia.org/w/index.php?title=Talk:Lipoma,Lipoma,288150,0.0
Management of Tourette syndrome,Mid-Class,2008-10-14T18:19:07Z,B-Class,2008-10-14T18:19:07Z,https://en.wikipedia.org/w/index.php?title=Management%20of%20Tourette%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Management%20of%20Tourette%20syndrome,Talk:Management of Tourette syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Management%20of%20Tourette%20syndrome,Management of Tourette syndrome,5071079,0.0
Management of chronic headaches,Mid-Class,2009-10-11T11:08:28Z,B-Class,2009-10-11T11:08:28Z,https://en.wikipedia.org/w/index.php?title=Management%20of%20chronic%20headaches&action=history,https://en.wikipedia.org/w/index.php?title=Management%20of%20chronic%20headaches,Talk:Management of chronic headaches,https://en.wikipedia.org/w/index.php?title=Talk:Management%20of%20chronic%20headaches,Management of chronic headaches,19592340,0.0
Mantoux test,Mid-Class,2008-01-08T20:05:43Z,B-Class,2008-01-08T20:05:43Z,https://en.wikipedia.org/w/index.php?title=Mantoux%20test&action=history,https://en.wikipedia.org/w/index.php?title=Mantoux%20test,Talk:Mantoux test,https://en.wikipedia.org/w/index.php?title=Talk:Mantoux%20test,Mantoux test,54995,0.0
Plantar wart,Mid-Class,2008-01-11T23:29:46Z,B-Class,2008-01-11T23:29:46Z,https://en.wikipedia.org/w/index.php?title=Plantar%20wart&action=history,https://en.wikipedia.org/w/index.php?title=Plantar%20wart,Talk:Plantar wart,https://en.wikipedia.org/w/index.php?title=Talk:Plantar%20wart,Plantar wart,314345,0.0
Referred itch,Mid-Class,2008-09-16T03:32:47Z,B-Class,2011-04-29T05:51:48Z,https://en.wikipedia.org/w/index.php?title=Referred%20itch&action=history,https://en.wikipedia.org/w/index.php?title=Referred%20itch,Talk:Referred itch,https://en.wikipedia.org/w/index.php?title=Talk:Referred%20itch,Referred itch,6067897,0.0
Rotator cuff tear,Mid-Class,2008-01-24T00:04:54Z,B-Class,2008-01-24T00:04:54Z,https://en.wikipedia.org/w/index.php?title=Rotator%20cuff%20tear&action=history,https://en.wikipedia.org/w/index.php?title=Rotator%20cuff%20tear,Talk:Rotator cuff tear,https://en.wikipedia.org/w/index.php?title=Talk:Rotator%20cuff%20tear,Rotator cuff tear,1263226,0.0
Semaglutide,Mid-Class,2020-04-30T18:53:55Z,B-Class,2025-05-28T00:26:16Z,https://en.wikipedia.org/w/index.php?title=Semaglutide&action=history,https://en.wikipedia.org/w/index.php?title=Semaglutide,Talk:Semaglutide,https://en.wikipedia.org/w/index.php?title=Talk:Semaglutide,Semaglutide,50133223,0.0
Sensory processing disorder,Mid-Class,2020-09-03T00:09:44Z,B-Class,2020-09-03T00:09:44Z,https://en.wikipedia.org/w/index.php?title=Sensory%20processing%20disorder&action=history,https://en.wikipedia.org/w/index.php?title=Sensory%20processing%20disorder,Talk:Sensory processing disorder,https://en.wikipedia.org/w/index.php?title=Talk:Sensory%20processing%20disorder,Sensory processing disorder,53638298,0.0
St John Ambulance (England),Mid-Class,2020-05-21T09:42:39Z,B-Class,2020-09-30T16:24:01Z,https://en.wikipedia.org/w/index.php?title=St%20John%20Ambulance%20%28England%29&action=history,https://en.wikipedia.org/w/index.php?title=St%20John%20Ambulance%20%28England%29,Talk:St John Ambulance (England),https://en.wikipedia.org/w/index.php?title=Talk:St%20John%20Ambulance%20%28England%29,St John Ambulance (England),6730884,0.0
Systemic scleroderma,Mid-Class,2009-03-01T12:00:30Z,B-Class,2009-03-01T12:00:30Z,https://en.wikipedia.org/w/index.php?title=Systemic%20scleroderma&action=history,https://en.wikipedia.org/w/index.php?title=Systemic%20scleroderma,Talk:Systemic scleroderma,https://en.wikipedia.org/w/index.php?title=Talk:Systemic%20scleroderma,Systemic scleroderma,26951,0.0
Wireless device radiation and health,Mid-Class,2010-02-28T01:40:04Z,B-Class,2010-02-28T01:40:04Z,https://en.wikipedia.org/w/index.php?title=Wireless%20device%20radiation%20and%20health&action=history,https://en.wikipedia.org/w/index.php?title=Wireless%20device%20radiation%20and%20health,Talk:Wireless device radiation and health,https://en.wikipedia.org/w/index.php?title=Talk:Wireless%20device%20radiation%20and%20health,Wireless device radiation and health,1272748,0.0
1881–1896 cholera pandemic,Low-Class,2017-03-22T03:34:43Z,B-Class,2023-11-14T20:25:09Z,https://en.wikipedia.org/w/index.php?title=1881%E2%80%931896%20cholera%20pandemic&action=history,https://en.wikipedia.org/w/index.php?title=1881%E2%80%931896%20cholera%20pandemic,Talk:1881–1896 cholera pandemic,https://en.wikipedia.org/w/index.php?title=Talk:1881%E2%80%931896%20cholera%20pandemic,1881–1896 cholera pandemic,16948703,0.0
2008 Zimbabwean cholera outbreak,Low-Class,2011-03-13T05:00:30Z,B-Class,2011-03-13T05:00:30Z,https://en.wikipedia.org/w/index.php?title=2008%20Zimbabwean%20cholera%20outbreak&action=history,https://en.wikipedia.org/w/index.php?title=2008%20Zimbabwean%20cholera%20outbreak,Talk:2008 Zimbabwean cholera outbreak,https://en.wikipedia.org/w/index.php?title=Talk:2008%20Zimbabwean%20cholera%20outbreak,2008 Zimbabwean cholera outbreak,20527491,0.0
Androctonus australis hector insect toxin,Low-Class,2013-10-13T19:10:45Z,B-Class,2024-02-12T03:07:34Z,https://en.wikipedia.org/w/index.php?title=Androctonus%20australis%20hector%20insect%20toxin&action=history,https://en.wikipedia.org/w/index.php?title=Androctonus%20australis%20hector%20insect%20toxin,Talk:Androctonus australis hector insect toxin,https://en.wikipedia.org/w/index.php?title=Talk:Androctonus%20australis%20hector%20insect%20toxin,Androctonus australis hector insect toxin,40780817,0.0
Austrian syndrome,Low-Class,2012-04-27T19:24:06Z,B-Class,2023-10-31T01:07:56Z,https://en.wikipedia.org/w/index.php?title=Austrian%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Austrian%20syndrome,Talk:Austrian syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Austrian%20syndrome,Austrian syndrome,22715614,0.0
Causes of hearing loss,Low-Class,2021-02-20T13:08:28Z,B-Class,2020-11-19T10:49:07Z,https://en.wikipedia.org/w/index.php?title=Causes%20of%20hearing%20loss&action=history,https://en.wikipedia.org/w/index.php?title=Causes%20of%20hearing%20loss,Talk:Causes of hearing loss,https://en.wikipedia.org/w/index.php?title=Talk:Causes%20of%20hearing%20loss,Causes of hearing loss,64773065,0.0
Emergency medical services in the Netherlands,Low-Class,2008-09-22T19:38:54Z,B-Class,2008-10-01T17:37:56Z,https://en.wikipedia.org/w/index.php?title=Emergency%20medical%20services%20in%20the%20Netherlands&action=history,https://en.wikipedia.org/w/index.php?title=Emergency%20medical%20services%20in%20the%20Netherlands,Talk:Emergency medical services in the Netherlands,https://en.wikipedia.org/w/index.php?title=Talk:Emergency%20medical%20services%20in%20the%20Netherlands,Emergency medical services in the Netherlands,19425095,0.0
Endovascular and hybrid trauma and bleeding management,Low-Class,2017-12-24T02:44:44Z,B-Class,2017-11-25T17:51:12Z,https://en.wikipedia.org/w/index.php?title=Endovascular%20and%20hybrid%20trauma%20and%20bleeding%20management&action=history,https://en.wikipedia.org/w/index.php?title=Endovascular%20and%20hybrid%20trauma%20and%20bleeding%20management,Talk:Endovascular and hybrid trauma and bleeding management,https://en.wikipedia.org/w/index.php?title=Talk:Endovascular%20and%20hybrid%20trauma%20and%20bleeding%20management,Endovascular and hybrid trauma and bleeding management,55498877,0.0
Estradiol benzoate,Low-Class,2012-06-21T08:46:31Z,B-Class,2019-06-11T11:36:35Z,https://en.wikipedia.org/w/index.php?title=Estradiol%20benzoate&action=history,https://en.wikipedia.org/w/index.php?title=Estradiol%20benzoate,Talk:Estradiol benzoate,https://en.wikipedia.org/w/index.php?title=Talk:Estradiol%20benzoate,Estradiol benzoate,20621754,0.0
HLA-DQ1,Low-Class,2009-05-13T18:19:01Z,B-Class,2007-08-19T18:46:57Z,https://en.wikipedia.org/w/index.php?title=HLA-DQ1&action=history,https://en.wikipedia.org/w/index.php?title=HLA-DQ1,Talk:HLA-DQ1,https://en.wikipedia.org/w/index.php?title=Talk:HLA-DQ1,HLA-DQ1,12831676,0.0
Hanging,Low-Class,2011-08-24T23:27:58Z,B-Class,2011-05-31T22:34:01Z,https://en.wikipedia.org/w/index.php?title=Hanging&action=history,https://en.wikipedia.org/w/index.php?title=Hanging,Talk:Hanging,https://en.wikipedia.org/w/index.php?title=Talk:Hanging,Hanging,155019,0.0
History of Asperger syndrome,Low-Class,2007-09-17T06:52:52Z,B-Class,2007-09-17T06:52:52Z,https://en.wikipedia.org/w/index.php?title=History%20of%20Asperger%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=History%20of%20Asperger%20syndrome,Talk:History of Asperger syndrome,https://en.wikipedia.org/w/index.php?title=Talk:History%20of%20Asperger%20syndrome,History of Asperger syndrome,13302907,0.0
Intermittent fasting,Low-Class,2008-12-13T20:41:24Z,B-Class,2020-09-02T23:32:18Z,https://en.wikipedia.org/w/index.php?title=Intermittent%20fasting&action=history,https://en.wikipedia.org/w/index.php?title=Intermittent%20fasting,Talk:Intermittent fasting,https://en.wikipedia.org/w/index.php?title=Talk:Intermittent%20fasting,Intermittent fasting,20104879,0.0
Jan Baptist van Helmont,Low-Class,2019-09-13T01:09:58Z,B-Class,2019-09-13T01:09:58Z,https://en.wikipedia.org/w/index.php?title=Jan%20Baptist%20van%20Helmont&action=history,https://en.wikipedia.org/w/index.php?title=Jan%20Baptist%20van%20Helmont,Talk:Jan Baptist van Helmont,https://en.wikipedia.org/w/index.php?title=Talk:Jan%20Baptist%20van%20Helmont,Jan Baptist van Helmont,334591,0.0
John J. Zhang,Low-Class,2018-07-14T03:19:26Z,B-Class,2025-07-14T08:42:42Z,https://en.wikipedia.org/w/index.php?title=John%20J.%20Zhang&action=history,https://en.wikipedia.org/w/index.php?title=John%20J.%20Zhang,Talk:John J. Zhang,https://en.wikipedia.org/w/index.php?title=Talk:John%20J.%20Zhang,John J. Zhang,52120628,0.0
Lecithin,Low-Class,2017-02-01T11:39:27Z,B-Class,2024-11-07T20:32:02Z,https://en.wikipedia.org/w/index.php?title=Lecithin&action=history,https://en.wikipedia.org/w/index.php?title=Lecithin,Talk:Lecithin,https://en.wikipedia.org/w/index.php?title=Talk:Lecithin,Lecithin,525023,0.0
Mechanism of autism,Low-Class,2019-03-01T07:19:18Z,B-Class,2019-03-01T07:19:18Z,https://en.wikipedia.org/w/index.php?title=Mechanism%20of%20autism&action=history,https://en.wikipedia.org/w/index.php?title=Mechanism%20of%20autism,Talk:Mechanism of autism,https://en.wikipedia.org/w/index.php?title=Talk:Mechanism%20of%20autism,Mechanism of autism,60104682,0.0
Minimed Paradigm,Low-Class,2009-10-14T19:25:50Z,B-Class,2009-10-14T19:25:50Z,https://en.wikipedia.org/w/index.php?title=Minimed%20Paradigm&action=history,https://en.wikipedia.org/w/index.php?title=Minimed%20Paradigm,Talk:Minimed Paradigm,https://en.wikipedia.org/w/index.php?title=Talk:Minimed%20Paradigm,Minimed Paradigm,23656120,0.0
Mitochondrial DNA depletion syndrome,Low-Class,2017-07-09T22:11:35Z,B-Class,2023-02-10T05:06:58Z,https://en.wikipedia.org/w/index.php?title=Mitochondrial%20DNA%20depletion%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Mitochondrial%20DNA%20depletion%20syndrome,Talk:Mitochondrial DNA depletion syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Mitochondrial%20DNA%20depletion%20syndrome,Mitochondrial DNA depletion syndrome,42392931,0.0
Paramedics in Australia,Low-Class,2008-12-17T12:38:10Z,B-Class,2008-12-12T11:21:21Z,https://en.wikipedia.org/w/index.php?title=Paramedics%20in%20Australia&action=history,https://en.wikipedia.org/w/index.php?title=Paramedics%20in%20Australia,Talk:Paramedics in Australia,https://en.wikipedia.org/w/index.php?title=Talk:Paramedics%20in%20Australia,Paramedics in Australia,4691655,0.0
Polyestradiol phosphate,Low-Class,2017-11-21T03:54:24Z,B-Class,2018-01-03T08:12:29Z,https://en.wikipedia.org/w/index.php?title=Polyestradiol%20phosphate&action=history,https://en.wikipedia.org/w/index.php?title=Polyestradiol%20phosphate,Talk:Polyestradiol phosphate,https://en.wikipedia.org/w/index.php?title=Talk:Polyestradiol%20phosphate,Polyestradiol phosphate,3295511,0.0
Porphyria,Low-Class,2007-05-10T16:39:49Z,B-Class,2007-05-10T16:39:49Z,https://en.wikipedia.org/w/index.php?title=Porphyria&action=history,https://en.wikipedia.org/w/index.php?title=Porphyria,Talk:Porphyria,https://en.wikipedia.org/w/index.php?title=Talk:Porphyria,Porphyria,82978,0.0
Thromboelastometry,Low-Class,2009-05-19T19:18:49Z,B-Class,2009-05-19T19:18:49Z,https://en.wikipedia.org/w/index.php?title=Thromboelastometry&action=history,https://en.wikipedia.org/w/index.php?title=Thromboelastometry,Talk:Thromboelastometry,https://en.wikipedia.org/w/index.php?title=Talk:Thromboelastometry,Thromboelastometry,22809868,0.0
Viktor Frankl,Low-Class,2011-08-11T01:54:45Z,B-Class,2011-08-11T01:54:45Z,https://en.wikipedia.org/w/index.php?title=Viktor%20Frankl&action=history,https://en.wikipedia.org/w/index.php?title=Viktor%20Frankl,Talk:Viktor Frankl,https://en.wikipedia.org/w/index.php?title=Talk:Viktor%20Frankl,Viktor Frankl,177316,0.0
Wendy Sue Swanson,Low-Class,2015-07-08T11:15:17Z,B-Class,2020-06-10T00:11:21Z,https://en.wikipedia.org/w/index.php?title=Wendy%20Sue%20Swanson&action=history,https://en.wikipedia.org/w/index.php?title=Wendy%20Sue%20Swanson,Talk:Wendy Sue Swanson,https://en.wikipedia.org/w/index.php?title=Talk:Wendy%20Sue%20Swanson,Wendy Sue Swanson,46230911,0.0
William Maxwell (doctor),Low-Class,2022-10-01T14:03:02Z,B-Class,2022-10-22T17:49:06Z,https://en.wikipedia.org/w/index.php?title=William%20Maxwell%20%28doctor%29&action=history,https://en.wikipedia.org/w/index.php?title=William%20Maxwell%20%28doctor%29,Talk:William Maxwell (doctor),https://en.wikipedia.org/w/index.php?title=Talk:William%20Maxwell%20%28doctor%29,William Maxwell (doctor),71873995,0.0
DPT vaccine,High-Class,2008-03-19T20:57:42Z,C-Class,2008-07-15T17:14:43Z,https://en.wikipedia.org/w/index.php?title=DPT%20vaccine&action=history,https://en.wikipedia.org/w/index.php?title=DPT%20vaccine,Talk:DPT vaccine,https://en.wikipedia.org/w/index.php?title=Talk:DPT%20vaccine,DPT vaccine,876719,0.0
