id,section,user,timestamp,comment,parent_id,indent_level,article,page_id
2113994_979358_3,Peer review,Despayre,"08:10, 5 April 2012","Had to abandon Megatron, too messed up, needs to be split, probably into 3. Oh well...
Early Life and education:
:- removed misc wikilinks as per wp:overlink
:- semi-colon as per MOS
:- removed ""california"" designation from san fran
:- grammar fix, ""an early"" not ""a early""
:- this sentence ""The Sadlers later joined other former Adventists to criticize the church""
:do you mean they went to a meeting, or do you mean they were vocal, like other former adventists, and the sentence should maybe say:
::""The Sadlers later joined other former Adventists in criticizing the church""?
:I'm not crazy about this phrase either ""Sadler rejected his faith in some Seventh-day Adventist teachings"", seems to me, you either reject a faith, or you don't, you can't reject your faith on some of your faith. maybe ""Sadler rejected some Seventh-day Adventist teachings""
That's it for this section, more later today...
--",,0,William S. Sadler,2113994
2113994_979358_4,Peer review,Mark Arsten,"16:43, 5 April 2012","Great work thus far, keep it up!",2113994_979358_3,1,William S. Sadler,2113994
2113994_979358_5,Peer review,Despayre,"17:01, 6 April 2012","Career:
:- minor prose fix, replacing another ""also his wife"" phrase
:- changed ""promoted prayer on these grounds"" to avoid any literal interpretation
:- at least part of this sounds like a quote, ""He argued that pastors should be educated in basic psychiatry, so they could recognize symptoms of mental illness in congregants."" from the Chicago Tribune, if so, it should have some ""'s
::Checked again, doesn't look like a quote or close paraphrasing.
:- grammar touchups, removed wikilink on orchestra, Northwestern University, and world war I, as per wp:overlink
:- added wikilink for skeptic, borderline call, meh :)
:- this section wasn't too bad at all
Urantia revelation:
:- minor prose tweaks
:- removed wikilink to colgate U.
:- removed wikilink to skeptic, since its linked above now, also stops that run-on links thing, lol, there's a policy... :)
:- changed ""argue"" to ""posit"" to avoid ambiguity
:- removed God and Bible wikilinks, as per , blah blah blah :)
:- ""Wilensky-Lanford argues that"" who is that? I see him in refs, but he's nowhere in the text till now, needs some context. Author? historian? religious scholar? psychiatrist? Other? (other, you know, like drive-thru technician, ya, other!) :)
::lol, I thought I had mentioned more about her.
:- also, there should be a link between that sentence and the next one, about Gardner, ""Meanwhile, Alternately, On the other hand, Although"", something like that should start the Gardner sentence imo, showing it's the other side of the argument, but the two sentences are linked
::Ok, added a ""however"".
:- hahah, ok, I like when ambiguity strikes... ""''Lena Sadler participated in the forum until her death in 1939. One forum member wrote that Sadler's personality changed after her death"", uhm, ya, she became a lot less fun at parties? She died! :) Perhaps that sentence could be re-written as ""Until her death in 1939, Sadler's wife Lena was a regular forum participant. One member wrote that Sadler's personality changed after her death''""?
::Yes, that is better.
:- Gooch mentioned in the last paragraph, other than refs do we know who this is yet?
::Yeah, he's introduced in the career section.
:- wikilinked proselytizing, pretty sure most ppl don't know that one :)
Final years:
:- removed Macmillan Publishers wikilink, they aren't relevant to the topic
:- While good health seems to be implied by him living to 93, it seems a little funny to say ""he remained in good health, well, if you don't count the part where he lost an entire eye from disease"" which is the sense I get from that, possible re-wording might be better
::He was in great health, until he died :)
:- changed old, to ""older""
:- Who is Christensen? Did I meet him already in the article?
::Yes, way back in early life.
Reception:
:- changed ""novel theological"" to ""avante-garde"" and wikilinked the term, avoids that literal use of novel, which is what I thought the sentence was going to talk about (his support of some book in contradiction to his advocacy of science and reason) until I'd finished reading it
And that's it! Well done here. The rest all looks good to me, and most of what I found was minor minor! Certainly a less challenging task than some of the articles I've cleaned up on the March drive (yes, I'm looking at all 11,000 original words of you, Mr. Shinji Takahashi! :)  )
--",,0,William S. Sadler,2113994
2113994_979358_6,Peer review,Despayre,"17:04, 6 April 2012","Oh, I'm still not crazy about the visual flow of those two pictures in the article (the last 2), they just seem to be ""stuck in there"", I know they're relevant, and I'm not suggesting remove them, but space them a little more maybe? I dunno, just an opinion, and I'm not an artist ;)  Ciao!. --",,0,William S. Sadler,2113994
2113994_02c93d_1,disambig page,Despayre,"18:53, 6 April 2012","I added him to this page, you may want to change the text or something, but I thought he should be there, since I was looking him up, couldn't remember his first name, found Sadler, and he wasn't there. --",,0,William S. Sadler,2113994
2113994_92bc85_1,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Wazronk,"18:23, 7 September 2012","This article has really been shaped up into excellent form.  A few revisions of mine were just reverted with a request for more explanation, I understand and I was trying to be as complete with my edit summaries as possible, but I'm happy to explain more completely here as well.  The sourcing for my edits were in the summaries and it's no problem to in-line them of course.  I have all the major sources in the article on the UB topics and that's what I'm going by: Gardner's book, Gooch's Godtalk, both Lewis 2003 and 2007 chapters, the Urantia Book itself, and others.
One key thing that bears clarification is who the so-called ""beings"" were that were claimed by the Sadlers to be behind the book.  The article currently states these as ""extraterrestials"" (without inline citation).  I did notice in the edit history that someone a few weeks ago changed this to ""angelic beings"" and was reverted for not including sourcing.  The term ""angelic beings"" actually isn't accurate either, not using that phrase is all well and good as far as I'm concerned too.
The sourcing for this really is very clear in all the major outside references for the UB topic, its the main characteristic of the UB emphasized at the outset by each commentator:
* Gardner, starting on pg 11 and then throughout his book -- ""No author's name is on the UB's blue cloth cover on its title page. The contents consist of 196 ""Papers,"" as the chapters are called, each allegedly written by a celestial being.""
* Gooch, pg 3 and onwards -- ""Yet [Sadler] lives on in thousands of minds as the man responsible for the 2,097-page Urantia Book, which is said to have been transmitted during the early part of the twentieth century by celestial beings through a ""contact personality,"" a reluctant Chicago businessman who to this day remains anonymous.""
* Lewis (2007), pg 199 (the first page of her chapter in The Invention of Sacred Tradition, Oxford Press) -- ""All that is told of the person chosen by the ‘‘student visitors’’ or ‘‘celestial beings’’ to be the ‘‘vehicle’’ through which these revelations would emerge is that it was a male patient of Dr. William Sadler...""
* The United States Court of Appeals""In approximately 1900, an unknown patient (""the Conduit"") sought psychiatric help from Dr. William Sadler.(1) The Conduit behaved strangely in his sleep, and during sessions with the Conduit, Dr. Sadler became convinced that the Conduit was channeling ""celestial personalities."" At some point, the Conduit began presenting Dr. Sadler with handwritten ""papers,"" purportedly consisting of the fruits of his communion with these celestial beings.""
It's understandable both how the interpretation ""extraterrestials"" and ""angelic beings"" can come about.  ""Extraterrestials"" can come about from how the UB describes that spiritual beings live on other worlds, they don't free float out in space. But there is also very much a connotation with that word of ""little green men"" from other planets, ie mortal rather than spiritual beings.  The major outside sources (Gardner, Gooch, Lewis) don't use the interpretation ""extraterrestials"" and since there isn't a citation in the article for that specific word it's not clear on where it traces back to precisely.  (Another inaccuracy about the ""extraterrestial"" interpretation that should be mentioned is that fully one third of the UB ''isn't'' claimed to be from spirit beings allegedly from another world, it's claimed to be from an order of celestial being called ""midwayer"" that originated on earth and reside on earth.) For now I have gone ahead  added back the designation ""celestial beings"" since that does trace back to 4 solid WP:RS, I'm happy to discuss further as well of course.
On the other point I was clarifying with my edits, here's the copyright litigation court case again (since it's convenient) [[link]
:""Sometime later in the course of his treatment, Dr. Sadler opened up his sessions with the Conduit to a group of relatives that referred to itself as ""The Contact Commission."" During its sessions with the Conduit, the Contact Commission prepared stenographic notes of the Conduit's celestial dialogs, but it destroyed most of them. The notes formed no part of The Urantia Book.""
Other sources, like Gardner and Gooch and Lewis are in agreement. The article currently says:
:""The book is said to be a compilation of conversations Sadler believed he had with extraterrestrials speaking through a sleeping man.""
That statement in the article isn't in agreement with WP:RS.  My other change to the article was to have the statement be:
:""The book is said to be a compilation of writings that Sadler and his wife obtained from a man whom the Sadlers came to believe was acting as a conduit through which celestial beings communicated.""
The later part of the article in the section ""Urantia revelation"" describes it this way as well, as does WP:RS, so my edit was to fix this inconsistency and match up with WP:RS.  Again though, I want to emphasize, really fantastic job on this article over all! I'll try to take a closer look a little later to see if I can contribute anything further. All the best.",,0,William S. Sadler,2113994
2113994_92bc85_2,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Mark Arsten,"18:36, 7 September 2012","*Thanks for the compliments, and the detailed explanations. I'll read over what you say here and then check the sources and reply in more detail tonight, when I'll have my books handy.",,0,William S. Sadler,2113994
2113994_92bc85_3,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Churn and change,"19:05, 7 September 2012","The body text of the article says, in a direct quote, ""visitors . . . from another planet."" It is correct to summarize that as extraterrestrials in the lead. I don't know whether the source quoted from reinterpreted things, though.",2113994_92bc85_2,1,William S. Sadler,2113994
2113994_92bc85_4,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Mark Arsten,"19:18, 7 September 2012","Yeah, the lead is generally supposed to follow the body. You shouldn't add material to the lead that is not present outside of it. Citations are not required in the lead, either.",2113994_92bc85_3,2,William S. Sadler,2113994
2113994_92bc85_5,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Mark Arsten,"19:31, 7 September 2012","**Ok, have check the sources, and I'm quite confident that ""extraterrestrial"" is the word we should be using: A. Lewis 2003 (In a book called ""UFO Religions"" p. 132: ""The voice identified itself as a student visitor on an observation mission from another planet"". The same quote occurs in Lewis 2007 p. 132. In Gooch 2002 p. 7 ""The Forum members would then serve as a focus group, submitting questions to the celestials for further clarification (the transfer of information between the earthlings and the extraterrestrials was never entirely explained"" p. 15 ""Because of its insistence on having been written by a committee of extraterrestrial beings, The Urantia Book' for most people falls to the far left of believability."". So reliable 3rd party sources support the idea that these were purported extraterrestrials. The word ""celestial"" is vague, and can refer to astronomy or spirituality, so I think it should be avoided in favor of more clear language. I'll read more about the conversations and notes vs book and try to come to a conclusion later.",,0,William S. Sadler,2113994
2113994_92bc85_6,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Wazronk,"01:01, 8 September 2012","I think ""extraterrestrials"" as a standalone term is a less than clear term as well in this particular context unfortunately, since extraterrestrial life is well understood in a physical sense, ""as alien life, or simply aliens (or space aliens, to differentiate from other definitions of alien or aliens). These hypothetical forms of life range from simple bacteria-like organisms to beings far more complex than humans.""
:::Or more illustratively, this.
:::The peculiarities of a topic like this is what makes it of interest, and I think it'll be good either way not to end up so parsimonious with phrasing as to lose that.  Gardner, Gooch, Lewis et al very amply show it's clear that by non-Earth beings they're describing spiritual celestial beings, starting from the WP:RS cited above including the Gooch quote you just cited, ""... submitting questions to the celestials for further clarification...."". (Boy it pains me to see an English professor like Gooch turn an adjective like ""celestial"" into ""celestials"".) And as Lewis said about the ""student visitor"" angle, she's said it as well (2007, pg 199) ""All that is told of the person chosen by the ‘‘student visitors’’ or ‘‘celestial beings’’ to be the ‘‘vehicle’’ through which these revelations would emerge is that it was a male patient of Dr. William Sadler"".
:::A middle ground or extra clarifications in the article is needed if ""celestial being"" isn't considered good enough on its own, that's fine, but ""extraterrestrials"" on its own isn't accurate or clear enough either. I personally considered ""celestial beings"" as the best phrasing to go with since it was straight from 4 major WP:V 3rd party sources (including Oxford Press, Martin Gardner, and a US court of law) and the UB itself, it'll need to be added in the article just for WP:NPOV purposes in any case.
:::And as I mentioned in my earlier post, in terms of the UB itself, while some of the so-called spiritual celestial beings were from other worlds and in that sense ""extraterrestrial"", it is simply not an accurate word to summarize the alleged beings for the whole of the book. Part IV (which is more than one third of the content by pg count) is claimed to have been written by terrestrial spiritual beings. Some of the papers are said to have been written by angels, but not all of them, so it is inaccurate to say the book is allegedly from ""angelic beings"".  Some of the papers are said to have been written by celestial beings who are from other worlds, but not all of them, so it is inaccurate to say the book is from ""extraterrestrial"" beings (celestial or otherwise) as the article is now saying again in the lead. These are from plain and unambiguous WP:RS.
:::I hope the extra degree of picayune review and commentary from me is ok, I am just being forthright about these as I know the sources well, and for FA I think there is a need for very extra precision. I well know how this is an odd topic, it's actually a fun challenge to get the NPOV right!  I'm happy to help any way I can. I think the end of the article especially is handled very well with the varying POVs from the sources on this peculiar subject but it's a pretty significant absence in the WP:RS WP:V story that spirit personalities were claimed by Sadler to be the source of the book yet this isn't being said forthrightly and clearly.",2113994_92bc85_5,3,William S. Sadler,2113994
2113994_92bc85_7,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Mark Arsten,"01:39, 8 September 2012","Too be honest, I'm a bit surprised at how insistent you are that we do away with the term ""extraterrestrial"" in favor of ""celestial"". I appreciate your forthrightness and desire to fine-tune the article though, as well as your willingness to discuss this. As to the substance of the matter: the important thing is matching up with the reliable sources, and they do state that Sadler spoke with (or thought he spoke with) extraterrestrials. To exclude that information would be a disservice to readers; featured articles are supposed to be comprehensive. I understand your point that terrestrial angels were supposedly involved at one point, so I tweaked the language to make sure that the article didn't state that only extraterrestrials talked through him. I edited a bit in response to your questioning of whether the notes Sadler took vs the papers the mysteriously appeared comprise The Urania Book. I think that's fixed now too.",2113994_92bc85_6,4,William S. Sadler,2113994
2113994_92bc85_8,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Churn and change,"01:46, 8 September 2012","*I think we should avoid direct discussion of the primary source, the ""Urantia"" book. We should restrict the discussion to the secondary sources—Gooch, Lewis, and others—without trying to analyze the primary source ourselves. Since I don't have the secondary sources, I have nothing to say on that part of the debate. One further point: 'celestial' means heavenly, and hence 'not earthly.' A celestial being cannot be terrestrial, the second word defined as 'earthly.' So if the secondary sources refer to extra-terrestrial and celestial beings only, they are really referring to the same thing content-wise. It is just the connotations (think E.T.) at issue. I think that should be decided by which word the secondary sources focus on more, not by which word the original book or Sadler's interpretation of it uses more.",2113994_92bc85_5,3,William S. Sadler,2113994
2113994_92bc85_9,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Wazronk,"05:22, 8 September 2012","Hi Churn and change,
Yep, oh I totally agree, that's exactly my point, the secondary sources are what needs to be the pointer toward what to use, that's why I listed them out above showing, a) that's where the point comes from, b) it's the point made by the sources from their very earliest pages onwards.
* Gardner -- in his 445 pg book, which is devoted only to this topic, starting at pg 11 the term he uses is ""celestial beings"" and ""celestial intelligences"" as the purported beings Sadler claimed was communicating with him, and then he continues with those designations throughout the hundreds of pages of his book
* Gooch -- first page of his chapter on the topic he calls them ""celestial beings"", and then throughout his chapter as well (""celestials""), though yes there are a few occasions he terms them as ""extraterrestrials"" as well
* Lewis (2007) -- similarly, from the first page of her chapter on the topic and onwards, she specifies them as ""celestial beings"": pgs 199, 200, 203 [""celestial agencies""], 206, 207, 208, 210.  One of the sections of her chapter is titled ""CELESTIAL BEINGS AND COPYRIGHT LAW"". She does not use the term ""extraterrestrials"".
* There's one significant secondary source you can see for yourself if you'd like, the copyright litigation in US court is a public record and therefore accessible in the link I gave earlier.
Nothing more, nothing less than following the sources. I guess I'll flip it around, I truly don't quite see why the above extensively sourced basic information on this topic is actually being questioned, and even after directly cited to 4 major WP:V 3rd party independent sources (3 of them liberally used already in this article), it is reverted in favor of selectively one part of Gooch's phrasing.  Of course, to the point you make Mark, your same logic is applicable quite the same the other way around as well, that ""to exclude the information would be a disservice to readers.""  WP:V -- ""When reliable sources disagree, their conflict should be presented from a neutral point of view, giving each side its due weight."" That's the way we'll need to cover it it looks like.
Good to see the reworking of that other point in the lead, thanks.",,0,William S. Sadler,2113994
2113994_92bc85_10,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Mark Arsten,"09:04, 8 September 2012","I'm getting tired of arguing about this (I tire quickly of such things), so how about a compromise: I don't think it's Ok to withhold the fact that Sadler initially spoke to a purported extraterrestrial (and there's a high burden of proof for omitting reliably sourced information like this), but we can add the word ""celestial"" as a compromise, since you seem to feel very strongly about this word and it is used in a number of sources.",2113994_92bc85_9,1,William S. Sadler,2113994
2113994_92bc85_11,"Edits, in particular ""extraterrestials"" to ""celestial beings""",Wazronk,"23:22, 10 September 2012","Looks good, thank you.",2113994_92bc85_10,2,William S. Sadler,2113994
